clip,system,wer,cer,ref_words,hyp_words,script_mismatch,hyp_text,ref_text
clip37,elevenlabs:scribe_v1,0.3333,0.098,18,17,False,Waxaan arkay hal rati iyo hal maroodi magaalo. Taagto daan daayer af amxaari. So waa inaan suban.,Waxaan arkay hal rati iyo hal maroodi. magaalo taagto daanka daanyeer af-Amxaari soo Waa inan|m. Suubban
clip38,elevenlabs:scribe_v1,0.8182,0.1566,11,10,False,Bereleydi Soomaaliye Soomalida biyoodha. Idan dadka eeg bisadda waawayn tahay.,beeraleydii Soomaaliyeed Soomaalida biyodhac idan dadkaa Éeg! Bisaddu waa weyn tahay.
clip39,elevenlabs:scribe_v1,0.5294,0.1712,17,17,False,Xalaaskaaga kanoo guriyay cali iyo seero boodid biyaha xibib geel maxay samaynaysaa hooyo caano riyada. Nin karn.,faraskaaga Kani waa gurigii Cali iyo Sahro. boodid biyaha hilib geel Maxay samaynaysaa hooyo? caano riyaad ninkan
clip40,elevenlabs:scribe_v1,0.6818,0.2455,22,20,False,"""af"" ay duruwa reeyay, ""xel"" wiilka hooyo lalo may, ""orad"" ha burburin buu socda, ha waa narka handa ka hor.","af ey dhurwaa eryaday OSV Hel wiilka hooyo la lumay. orod Ha burburin.|tr Wuu socdaa. Haa, waan arkay hadda ka hor."
clip41,elevenlabs:scribe_v1,0.2667,0.066,15,15,False,Waraabe. Ma cabbeyna. Muran. Wazaaradda Waxbarashada. Berbera buu tegaya. Ilmuhu hooyo maro miyay la mayrayeen.,waraabe Ma cabbayno. muran wasaaradda waxbarashada Berbera buu tagayaa. Ilmuhu hooyo maro miyay la mayrayaan?
clip42,elevenlabs:scribe_v1,0.4167,0.2025,12,12,False,"Mood(bikilii racaanu ku jiro), Lean (nasiib, dawlada, waa timid), Maraya (feertaada).",mood bakeeriga caano ku jiro liin nasiib doolliyada Waa timid. marayaa feertaada
clip43,elevenlabs:scribe_v1,0.5294,0.093,17,17,False,Dugsiga afafka ee Jaamacadda Mogdishu. Ama gabdhaha dabool way yaqaanaan daanna day xagameedyadii. Ma macalin baatahay laantayda.,dugsiga afafka ee jaamacadda Muqdisho Ama gabdhaha dabaal way yaqaannaan. daanno dayaxgacmeedyadii Ma macallin baa tahay? laantayda
clip44,elevenlabs:scribe_v1,0.5714,0.1556,14,16,False,Waa diin. Xadana ubaxa ugu weyn dayax-gacmeedkooda ma ogi in la dhabooro... Guudad. Kubadda cagta.,Waa diin|m. Hodon ubaxa ugu weyn dayaxgacmeedkooda Ma ogi. lafdhabarro guudad kubbadda cagta
clip45,elevenlabs:scribe_v1,0.5385,0.1489,13,14,False,Oo hestee? Aboowee. Boodiida. Muddiktii hore. Farag gaari. Subban hadalkeeda. Ilmuhu yaanyuur ma heleen.,heestee abboowe boodidda Mudugtii hore fure gaari Suubban hadalkeeda Ilmuhu yaanyuur ma heleen?
clip46,elevenlabs:scribe_v1,0.6667,0.2093,21,21,False,Cid maad la kulan tay sharay. Faadumo way sugaysaa. Waxaan harkaysan yahay. Soo iibso. Fasalkayey dhigata. Baar. Buug ayay isistee Mariam.,Cidmaad la kulantay shalay? Faadumo way sugaysaa. Waxaan arkay Warsame. Soo iibso! Fasalkee dhigataa? beer|m Buug ayay i siisay Maryan.
clip47,elevenlabs:scribe_v1,0.6,0.2,15,15,False,Laabum maalmood oo daadheer. Boqorado. Dad. Qoraal. Magaac u yaan. Waan eega. Maraaa. Xarista roo.,labo maalmood oo dhaadheer boqorado Qod! qoraal magac-u-yaal Waan eegaa. maraa naxariisdarro Orda.
clip48,elevenlabs:scribe_v1,0.7895,0.3514,19,20,False,Firrka. Waddo. Sahro weyerta hey. Halaal ka suban. Taas? Xusanahay imaan? Hadda ka hor iman yahay takreeq ma kacale dan.,feerka Orda. waddo Sahro way yar tahay. hadalka Suubban taas Xasan ma imaan. Hadda ka hor miyaad tagtay magaaladan?
clip49,elevenlabs:scribe_v1,0.4762,0.1129,21,20,False,Habahay shaqadii waa ka yimid. Iyadoo la kulantay shalay. Garsoore. Muuqdisho ayuu u safray. Kuriga wayn. Baskuwaa wayn yaay. La'aan.,Aabbahay shaqadii waa ka yimid. Yaad la kulantay shalay? garsoore Muqdisho ayuu u safray. guriga weyn Basku waa weyn yahay. laan
clip50,elevenlabs:scribe_v1,0.125,0.0204,16,16,False,Maalaa guriga dadka soo dhisay ma aragtay. Waxaay yimid arday badan waxa aan jeclaa emma gurigaygan.,maalaa Guriga dadka soo dhisay ma aragtay? Waxaa yimid arday badan. Waxaa aan jeclaa Emma. gurigaygan
